Block_Number,Transaction_Hash,Previous_Block_Hash,Batch_ID,Drug_ID,Drug_Name,Supplier_ID,Event_Type,Actor_Role,Actor_ID,Timestamp,Location,Quantity_Units,Unit_Price_INR,Verification_Status,Verified_By_Nodes,Consensus_pct,Smart_Contract_ID,Anomaly_Flag,Block_Size_KB,Price_Deviation_Score,Transaction_Frequency,Geographic_Inconsistency_Score,Quantity_Deviation_Score,Event_Time_Gap_Hours,Low_Consensus_Flag,Unverified_Flag,Anomaly_Label
1,0xe174c8dcd0b8a86ff2287424dd4915b72e7c28417a51ae09ec8fa7cb08b8ff60,0x0000000000000000000000000000000000000000000000000000000000000000,BAT000001,DRG0001,Amoxicillin 250mg,SUP004,Production,Manufacturer,ACT4236,2025-10-25,Jaipur Depot,2056,1678.76,Verified,Node_Delhi|Node_Chennai|Node_Bengaluru,60.0,SC-SUP004-DRG0001,No,5.78,0.0,2,3,0.0,0.0,1,0,0
2,0xbc42296c7d09fba2a16ea0a25d7d5c3673e753b47e65e80324b697c332b3df38,0xe174c8dcd0b8a86ff2287424dd4915b72e7c28417a51ae09ec8fa7cb08b8ff60,BAT000001,DRG0001,Amoxicillin 250mg,SUP004,Quality_Check,QC_Inspector,ACT2351,2025-10-27,Ahmedabad Hub,2056,1678.76,Verified,Node_Bengaluru|Node_Hyderabad|Node_Chennai,60.0,SC-SUP004-DRG0001,No,1.29,0.0,1,3,0.0,48.0,1,0,0
3,0xda8e8305e908903d8256d2045b5e4fe6a06df247ba508ef32ec607554882da05,0xbc42296c7d09fba2a16ea0a25d7d5c3673e753b47e65e80324b697c332b3df38,BAT000001,DRG0001,Amoxicillin 250mg,SUP004,Dispatch,Logistics_Manager,ACT7089,2025-10-30,Kolkata Cold Chain,2056,1678.76,Verified,Node_Mumbai|Node_Hyderabad|Node_Delhi|Node_Bengaluru|Node_Chennai,100.0,SC-SUP004-DRG0001,No,5.96,0.0,1,3,0.0,72.0,0,0,0
4,0x3ad8443d46012ef5d38c5772fbf28b14710ae1cdc28358fb98e026bb3b968ba8,0xda8e8305e908903d8256d2045b5e4fe6a06df247ba508ef32ec607554882da05,BAT000001,DRG0001,Amoxicillin 250mg,SUP004,Received,Distributor,ACT6032,2025-11-03,Hyderabad Depot,2056,1678.76,Verified,Node_Delhi|Node_Mumbai|Node_Chennai|Node_Bengaluru,80.0,SC-SUP004-DRG0001,No,5.14,0.0,1,3,0.0,96.0,0,0,0
5,0x1e24cf082e0f53f76f7423b9c269142d1e0f05d18bd55045d7f1e8ca7b437ff3,0x3ad8443d46012ef5d38c5772fbf28b14710ae1cdc28358fb98e026bb3b968ba8,BAT000002,DRG0002,Amoxicillin 500mg,SUP015,Production,Manufacturer,ACT8377,2025-02-08,Chennai Port,103,8379.18,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP015-DRG0002,No,5.7,0.0,1,2,0.0,0.0,1,0,0
6,0x803d7a5010d667fd2e4664f05079f2f3e602d830eebce9cb50b5b0f31a696941,0x1e24cf082e0f53f76f7423b9c269142d1e0f05d18bd55045d7f1e8ca7b437ff3,BAT000002,DRG0002,Amoxicillin 500mg,SUP015,Quality_Check,QC_Inspector,ACT1622,2025-02-10,Jaipur Depot,103,8379.18,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP015-DRG0002,No,4.62,0.0,1,2,0.0,48.0,1,0,0
7,0x22ff8a0c8a46bab694eb9f4537989460ad7fa3daf30ced449d3cf435cc92d340,0x803d7a5010d667fd2e4664f05079f2f3e602d830eebce9cb50b5b0f31a696941,BAT000002,DRG0002,Amoxicillin 500mg,SUP015,Dispatch,Logistics_Manager,ACT7099,2025-02-14,Lucknow Store,103,8379.18,Verified,Node_Delhi|Node_Chennai|Node_Mumbai,60.0,SC-SUP015-DRG0002,No,3.93,0.0,1,2,0.0,96.0,1,0,0
8,0x5f37cc41ca542af7ff040f38edda6b7853b2f98c694c60d25308a64b0a65801a,0x22ff8a0c8a46bab694eb9f4537989460ad7fa3daf30ced449d3cf435cc92d340,BAT000002,DRG0002,Amoxicillin 500mg,SUP015,Received,Distributor,ACT2322,2025-02-18,Jaipur Depot,103,8379.18,Verified,Node_Mumbai|Node_Delhi|Node_Hyderabad|Node_Chennai|Node_Bengaluru,100.0,SC-SUP015-DRG0002,No,7.6,0.0,1,2,0.0,96.0,0,0,0
9,0x2a2be8b2201352ea153eda0e72d36d777a13f23dbebee8b2f14c6c47dc40212e,0x5f37cc41ca542af7ff040f38edda6b7853b2f98c694c60d25308a64b0a65801a,BAT000003,DRG0003,Amoxicillin-Clavulanate 625mg,SUP013,Production,Manufacturer,ACT8717,2025-08-30,Lucknow Store,4572,9953.71,Verified,Node_Bengaluru|Node_Hyderabad|Node_Mumbai,60.0,SC-SUP013-DRG0003,No,5.46,0.0,1,3,0.0,0.0,1,0,0
10,0xf842bc6f7e98b58275ea0ecf0642394e1e508d0ff307c852ff206819a85e06c0,0x2a2be8b2201352ea153eda0e72d36d777a13f23dbebee8b2f14c6c47dc40212e,BAT000003,DRG0003,Amoxicillin-Clavulanate 625mg,SUP013,Quality_Check,QC_Inspector,ACT9646,2025-09-02,Pune Distribution,4572,9953.71,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Chennai,80.0,SC-SUP013-DRG0003,No,2.31,0.0,2,3,0.0,72.0,0,0,0
