qr_id,batch_id,drug_id,drug_name,qr_hash,qr_version,generated_date,generated_by,expiry_date,scan_count,last_scan_date,last_scan_location,last_scan_device,verified_count,failed_verify_count,verification_rate_pct,blockchain_anchor,qr_status,tamper_detected,url_embedded
QR000001,BAT000001,DRG0001,Amoxicillin 500mg,79ca2f615e149e1e558003c7c7a7f184de019b4905c38a1eb40e042d3be20806,v2,10-04-2026,Dr Reddy's Laboratories,13-07-2026,86,22-04-2026 12:22,Sterling Hospital Ahmedabad,Scanner,81,5,94.2,0xc23c92c2fd692eebfcfdbe290ddaa9301c9f7d7f2496d179d98729d944dcf6,Active,No,https://verify.pharma.in/qr/79ca2f615e149e1e
QR000002,BAT000002,DRG0002,Azithromycin 250mg,36d4d2b3d8bdd77bca6d7dcbb16ee133f659787f227f9387d38ae393de915cb1,v2,18-07-2025,Cadila Healthcare,05-10-2029,50,13-05-2026 17:03,Manipal Hospital Bengaluru,Scanner,48,2,96.0,0x59aa774ff9f3d350700fdaf12e0f79a75c7b964676c7a7635ac34a57cb1bce,Active,No,https://verify.pharma.in/qr/36d4d2b3d8bdd77b
QR000003,BAT000003,DRG0003,Ciprofloxacin 500mg,c24eca8454771190386ccdc107c4d764b2b2901bf29f661a407693aaed5de480,v2,06-08-2025,IPCA Laboratories,12-02-2027,398,14-05-2026 01:00,PGIMER Chandigarh,Mobile,354,44,88.9,0xd47c9b6db529075d15e9ac25e6e771644ffb5df6ca90265f85bf13658e6ef5,Active,No,https://verify.pharma.in/qr/c24eca8454771190
QR000004,BAT000004,DRG0004,Metronidazole 400mg,f09a26e6c4d1e1584afc5904e672e723c93d28af456218d94a6eaf20e2d9c23f,v2,03-04-2025,Serum Institute of India,11-08-2026,412,30-04-2026 16:56,AMRI Hospital Kolkata,Mobile,354,58,85.9,0xf0988e98236ab476020b9fb7fe28165d46221221e528fe7023e410d449338c,Active,No,https://verify.pharma.in/qr/f09a26e6c4d1e158
QR000005,BAT000005,DRG0005,Ceftriaxone 1g Inj,8576c5c76133c32b98ccb46100b59c1eda6679d25f9d95adbf5b766a2b749ed4,v2,10-01-2025,Sun Pharmaceutical Industries,10-01-2030,394,09-05-2026 05:10,SCB Medical Bhubaneswar,Kiosk,357,37,90.6,0x2b7b1ace645d50ef4ad26b7b4e6bca343208c911ce376db041c1ca0a6306d9,Active,No,https://verify.pharma.in/qr/8576c5c76133c32b
QR000006,BAT000006,DRG0006,Paracetamol 500mg,60bb7d07ecd1f1b6fc1caf9686da848ac7a1229bc45b7581ee20a658b64ce8ba,v2,24-01-2025,Dr Reddy's Laboratories,10-05-2029,1,16-05-2026 02:16,MGM Hospital Chennai,Kiosk,0,1,0.0,0xd688726ff40b1b1edd0871298f37ac50f5cc4ff0749defae6c8fc9daae9ccb,Active,Yes,https://verify.pharma.in/qr/60bb7d07ecd1f1b6
QR000007,BAT000007,DRG0007,Ibuprofen 400mg,15116c34fb99ec7737b8467c10868b95ad6b21ac0f4c5619ff80d263550e946f,v2,12-06-2025,Alkem Laboratories,12-12-2029,188,30-04-2026 15:36,Yashoda Hospital Hyderabad,Kiosk,175,13,93.1,0xf1839c9a50ac9c256a79ff3ef11c48e5f18fd9ca732ef4e579a544513d3d0c,Active,No,https://verify.pharma.in/qr/15116c34fb99ec77
QR000008,BAT000008,DRG0008,Tramadol 50mg,b616e9a499f6553258b232fd7f5be1edadd9a2abddf9844bfe48c55fc8f60827,v2,26-01-2026,Lupin Pharmaceuticals,31-05-2028,173,16-04-2026 03:24,Sterling Hospital Ahmedabad,Web,162,11,93.6,0x7c5da739896bbbac4a926d3a3b9c6dc589e97c9cd24d26e4b4d0667c3cb349,Active,No,https://verify.pharma.in/qr/b616e9a499f65532
QR000009,BAT000009,DRG0009,Morphine 10mg Inj,39d2cc1f63bcf01cb17a6e0794b3a4c650bbad16b6284bdd89d1ab817611411c,v2,31-03-2025,Dr Reddy's Laboratories,26-10-2027,134,22-04-2026 01:13,KGMU Lucknow,Mobile,128,6,95.5,0xde0da487f9af50a308f0b6dedcedec10540ae83e53467ad5c95241b43158da,Active,No,https://verify.pharma.in/qr/39d2cc1f63bcf01c
QR000010,BAT000010,DRG0010,Diclofenac 50mg,22587045e3335af4356c23ec6a454310a9cbae9f0f6eb8d32509e07c8d29a22e,v2,18-05-2025,Abbott Healthcare India,11-01-2030,22,11-05-2026 00:06,MGM Hospital Chennai,Kiosk,20,2,90.9,0x59f417c3856f9587f25319defad03b134e906180dfadb814d5a8f5b0a223c9,Active,No,https://verify.pharma.in/qr/22587045e3335af4
QR000011,BAT000011,DRG0011,Amlodipine 5mg,b529e0aa8f36c3eb0bdd465faeccb0410e802e5d81c126d2e8a0e0e7a640fc5d,v2,18-02-2025,Bharat Biotech,23-05-2027,161,11-05-2026 20:21,AIIMS Delhi,Kiosk,160,1,99.4,0x9c6c4755c578deac976face1d323e304c521cca7348f590bcf3f51465c3d71,Active,No,https://verify.pharma.in/qr/b529e0aa8f36c3eb
QR000012,BAT000012,DRG0012,Losartan 50mg,767a984f6ebcd629ef4803a5114c44f053e58ea5606203da2fd36f53c7608545,v2,21-04-2026,Torrent Pharmaceuticals,24-10-2027,355,15-04-2026 23:55,Apollo Hospital Mumbai,Scanner,307,48,86.5,0x63b443dddfca8b96d29c9ff8da93e17a524f9a97abd5d6eaae6f5edbcfa9ee,Active,No,https://verify.pharma.in/qr/767a984f6ebcd629
QR000013,BAT000013,DRG0013,Atenolol 50mg,600d6bfb7f5f1afc9723224195134c8d9db871f6f741942e5e150a6cae53d31e,v2,05-06-2025,Serum Institute of India,06-11-2027,113,10-05-2026 08:38,SCB Medical Bhubaneswar,Scanner,101,12,89.4,0x6a0640b0990827b761b8d71d4f20f5e0172f23eeb7e2c34dc2ac9a49ff9e46,Active,No,https://verify.pharma.in/qr/600d6bfb7f5f1afc
QR000014,BAT000014,DRG0014,Furosemide 40mg,7bbe503304b062a7b60a42e70bb8e732612569a307983c560aa7d8c98e8607dc,v2,10-03-2025,Cadila Healthcare,23-04-2029,25,13-05-2026 14:51,Ruby Hall Clinic Pune,Scanner,21,4,84.0,0xd2c01019804b94cc403854bd8a05b691ba180b923386b9b021756d5f95ec71,Active,Yes,https://verify.pharma.in/qr/7bbe503304b062a7
QR000015,BAT000015,DRG0015,Ramipril 5mg,03d8045546d477b977ebe498ae573a519cb5299211451f7eade361c1513e8996,v2,25-08-2025,Bharat Biotech,08-01-2030,110,10-05-2026 09:34,Manipal Hospital Bengaluru,Scanner,95,15,86.4,0xe30c23ddf6d111e31b999be7d8c74a24d26f0d32421e0d8de4fffc9402cdda,Active,No,https://verify.pharma.in/qr/03d8045546d477b9
QR000016,BAT000016,DRG0016,Metformin 500mg,7c760267663d45a4b5737897d86de465601157ae4d6042790da011fc2d574629,v2,16-06-2025,Alkem Laboratories,29-03-2027,159,21-04-2026 06:46,Sterling Hospital Ahmedabad,Kiosk,154,5,96.9,0xaa61a4efd9f3d54fc0093988c26712a3fa7090fca8eed477d711b9541e6543,Active,No,https://verify.pharma.in/qr/7c760267663d45a4
QR000017,BAT000017,DRG0017,Glimepiride 2mg,98ecf027d14a1b18fcbf1bbbf90869f1e166c2d2635e8a3f0b8308f595d7e032,v2,08-03-2026,Sun Pharmaceutical Industries,26-12-2026,468,29-04-2026 15:12,Sterling Hospital Ahmedabad,Scanner,400,68,85.5,0xfd8df1f055fa628cddf24c68dbce4d1d1058fed35ecdf5f8886d2134fff48f,Active,No,https://verify.pharma.in/qr/98ecf027d14a1b18
QR000018,BAT000018,DRG0018,Insulin Glargine,4fa021265213dfd5e200ecfc57822a058af35472412efff05f024adeb1562241,v2,30-04-2026,Torrent Pharmaceuticals,02-07-2027,264,11-05-2026 21:50,Manipal Hospital Bengaluru,Scanner,247,17,93.6,0xbc0a4a921481f96af04af37357c4c666f45cbae21d49ddb6683169a13218b1,Active,No,https://verify.pharma.in/qr/4fa021265213dfd5
QR000019,BAT000019,DRG0019,Sitagliptin 100mg,929ee3d62e48f323e65305603e25b5c9427253258d9c2dbb065a60ba77abdfc9,v2,19-02-2026,Novartis India,12-11-2028,164,18-04-2026 22:30,KGMU Lucknow,Kiosk,157,7,95.7,0xed029ed2169062859e8808da205c80bcf2f2bb2155c94e79e09c0e0241b697,Active,No,https://verify.pharma.in/qr/929ee3d62e48f323
QR000020,BAT000020,DRG0020,Empagliflozin 10mg,7dcc2978a60c6efcf24a26652e87c0a0aa7a582bd3538935dd3e326cb29173c0,v2,04-04-2025,Bharat Biotech,02-12-2028,445,11-05-2026 01:48,Manipal Hospital Bengaluru,Kiosk,436,9,98.0,0xed28a91c25ee8eec04e0874f43db684efd61495c633489db5d31b4727a8b47,Active,No,https://verify.pharma.in/qr/7dcc2978a60c6efc
QR000021,BAT000021,DRG0021,Atorvastatin 20mg,35274021f64a0e03cd3515f6a1e8d8027719a54a985b72bf7090b09d830cfa11,v2,28-01-2025,Alkem Laboratories,16-04-2029,176,07-05-2026 01:59,MGM Hospital Chennai,Kiosk,151,25,85.8,0x70507a49b85d02894cce6b5b7747f023c0731d3f5cf214db8fff998258e2e4,Active,No,https://verify.pharma.in/qr/35274021f64a0e03
QR000022,BAT000022,DRG0022,Clopidogrel 75mg,f55a947dec5048334bf49018cb5ee7a1633adcbe2457f6ff9ff183b623b6bd98,v2,01-06-2025,Lupin Pharmaceuticals,27-07-2027,59,30-04-2026 23:57,MGM Hospital Chennai,Scanner,57,2,96.6,0xd02413616576f45cf0f16b78ef7d841c0fd888ec6c8541ec6f87f42d26ab0a,Active,No,https://verify.pharma.in/qr/f55a947dec504833
QR000023,BAT000023,DRG0023,Aspirin 75mg,f026eef68b14b99f7cd631bf61d15c91649b88106e9e9007be0988c69da6c2ba,v2,25-12-2025,Aurobindo Pharma,22-03-2028,57,25-04-2026 06:02,Medanta Hospital Gurugram,Mobile,54,3,94.7,0xb0ce1a4f463445cdc845635b9c7e6903a5a24b41be498e2762814842dbed0d,Active,No,https://verify.pharma.in/qr/f026eef68b14b99f
QR000024,BAT000024,DRG0024,Warfarin 5mg,c6af41fd360ed90ddbf9576e6c3018ba2f15a819fb6e3743b06e15cb4bead01c,v2,27-02-2025,Novartis India,15-04-2027,455,23-04-2026 08:30,AMRI Hospital Kolkata,Mobile,451,4,99.1,0xf5a3ccdeff877ad5b17ce78ed6a04a523558685c92c06fb83af48cfd6965b4,Active,No,https://verify.pharma.in/qr/c6af41fd360ed90d
QR000025,BAT000025,DRG0025,Digoxin 0.25mg,4c08ec96091e0963dfe7876f0d126a87b6b433a21e63fa353343846e3d533f03,v2,17-04-2026,Sun Pharmaceutical Industries,30-08-2029,244,26-04-2026 09:47,Yashoda Hospital Hyderabad,Kiosk,238,6,97.5,0x08e179959eb4c377c037a505d81c523f3e5b28bd6f5b4573fb407be5e53d5c,Active,No,https://verify.pharma.in/qr/4c08ec96091e0963
QR000026,BAT000026,DRG0026,Salbutamol Inhaler,bb57bd356af13b2ad806e259169917681f4e40143fd9f8e7a30e9aba9cfb72d8,v2,03-02-2026,Bharat Biotech,07-03-2027,163,11-05-2026 20:28,Apollo Hospital Mumbai,Web,157,6,96.3,0x07370fc966c304732faccb13ce063f468673572ec775d2849d4e538b150e74,Active,No,https://verify.pharma.in/qr/bb57bd356af13b2a
QR000027,BAT000027,DRG0027,Budesonide Inhaler,f0bbc07bf402afb3c5990136ff748b2bff50ab2463f83fc35fbfe7cce317ca84,v2,18-02-2025,Aurobindo Pharma,15-04-2028,115,19-04-2026 06:32,Civil Hospital Surat,Mobile,98,17,85.2,0x30ed6923e5331d23bff8fa00a6ae3905c069ebaf5cb5e1d71c1cb873c93cb6,Active,No,https://verify.pharma.in/qr/f0bbc07bf402afb3
QR000028,BAT000028,DRG0028,Montelukast 10mg,88235b9f5f541ce26dcd91848dc563cd880c848a27eef49cc3bed97a6df8e826,v2,01-01-2025,Sanofi India,09-05-2027,235,13-05-2026 11:36,Manipal Hospital Bengaluru,Mobile,206,29,87.7,0x8ee76994711cd28d6d67dea5bdb3f8b0f4fb9cd2613becff1b702af02c419c,Active,No,https://verify.pharma.in/qr/88235b9f5f541ce2
QR000029,BAT000029,DRG0029,Tiotropium Inhaler,d4391d08474a6c38ad60335c26587015045bc3f460c5430713cfa8c616b6a699,v2,11-01-2026,Bharat Biotech,28-07-2027,445,12-05-2026 02:54,Ruby Hall Clinic Pune,Scanner,444,1,99.8,0x145fc64a4da5567a8fc61f40adb68078544f63638799ae405a70c62d87b5c0,Active,No,https://verify.pharma.in/qr/d4391d08474a6c38
QR000030,BAT000030,DRG0030,Doxofylline 400mg,5123d4752a6e35ea85a1d8dc8c5bb5a636e09042627b52b9a08220acb33c1d99,v2,13-04-2025,Sun Pharmaceutical Industries,04-01-2028,430,24-04-2026 05:37,SCB Medical Bhubaneswar,Mobile,387,43,90.0,0x309fbdc0be038d2eace5c13e59137bb07b2102128d9f3650dea068ab051816,Active,No,https://verify.pharma.in/qr/5123d4752a6e35ea
QR000031,BAT000031,DRG0031,Omeprazole 20mg,bbf57bcdd7a6cb9b9a3c665594da141bfbf77c0e19f79c3c7e4cc32b1e93a834,v2,04-09-2025,Aurobindo Pharma,01-07-2027,467,24-04-2026 06:13,KEM Hospital Pune,Kiosk,426,41,91.2,0x614b684ba475236e17b8904bd26260ebb6a2d1f72cd083c238bf054d97b322,Active,No,https://verify.pharma.in/qr/bbf57bcdd7a6cb9b
QR000032,BAT000032,DRG0032,Pantoprazole 40mg,ee7dd78ebc7889765687bddaa8dabc49c949794b1d1f73e919c8d7c9ec032058,v2,22-05-2025,Torrent Pharmaceuticals,08-12-2029,134,28-04-2026 14:21,Ruby Hall Clinic Pune,Mobile,123,11,91.8,0x725ff8ca59e593e5454fd1d7291030ce728f3887414c715e6919573b97e575,Active,No,https://verify.pharma.in/qr/ee7dd78ebc788976
QR000033,BAT000033,DRG0033,Ondansetron 4mg,6c44c25e86d8f59e896192338a1429142f8bd7d9ea8ea7e5b3c90a91b6343791,v2,04-01-2026,Novartis India,02-08-2029,240,30-04-2026 00:49,MGM Hospital Chennai,Web,214,26,89.2,0x5c8e9b1fdbc7b779153270e9ba814beb0187b253ad0ca193319080634ee890,Active,No,https://verify.pharma.in/qr/6c44c25e86d8f59e
QR000034,BAT000034,DRG0034,Domperidone 10mg,93ffa878f76ded872f26ac382b1bbe10a5059adda3759b9caeac9d7542be451d,v2,22-12-2025,Sun Pharmaceutical Industries,08-10-2029,269,01-05-2026 04:13,AIIMS Delhi,Scanner,240,29,89.2,0x66c832e164a2901b205e1e73a2eeac4dde56c3fa50639a52cd80b134ed2c81,Active,No,https://verify.pharma.in/qr/93ffa878f76ded87
QR000035,BAT000035,DRG0035,Metoclopramide 10mg,68061713c98c2f3dc4bb4fc7fe22c840baf417600aa65f59be61893d14711101,v2,09-01-2026,AstraZeneca India,10-02-2027,169,22-04-2026 01:02,KEM Hospital Pune,Mobile,164,5,97.0,0x0133e38fae2d90647f1764f52882f94889badf0bf7562531f6b8a24bedfda8,Active,No,https://verify.pharma.in/qr/68061713c98c2f3d
QR000036,BAT000036,DRG0036,Oseltamivir 75mg,8302972ee1b4c031f60d09248fb86921fc64a6605b25fe1a058ef0628a0f810a,v2,01-06-2025,Novartis India,02-02-2028,308,16-04-2026 03:56,SMS Hospital Jaipur,Scanner,295,13,95.8,0x7b5095e964a49fbe7bde9c7078010179a24aa6a061ffc103745e51dea3ba28,Active,No,https://verify.pharma.in/qr/8302972ee1b4c031
QR000037,BAT000037,DRG0037,Acyclovir 400mg,47054bb2ea2abf6cc95b247d0b4eeb9f792439a167e6bd34383637e35f798ef0,v2,28-12-2025,Lupin Pharmaceuticals,02-04-2029,117,29-04-2026 05:01,Ruby Hall Clinic Pune,Kiosk,107,10,91.5,0xb8b26a879f8c3dbd4da47ce55e122cb75554e3e4f82bc410b54c4194f04294,Active,No,https://verify.pharma.in/qr/47054bb2ea2abf6c
QR000038,BAT000038,DRG0038,Tenofovir 300mg,a4383158953022e9d31754a272c9b912da2f5b72985c59ba51a2a941400da367,v2,30-01-2026,Dr Reddy's Laboratories,12-11-2026,25,29-04-2026 23:08,PGIMER Chandigarh,Kiosk,22,3,88.0,0x7802631ce8faa6c659b9bd66a18aa0cd25e79dbba989cadfb8bd45230c08be,Active,No,https://verify.pharma.in/qr/a4383158953022e9
QR000039,BAT000039,DRG0039,Remdesivir 100mg Inj,0d26bf2139c73b2bed07d8178312e4017fa479e2f5a9d47bbd41a9009ac06a40,v2,06-11-2025,Serum Institute of India,30-03-2028,53,30-04-2026 20:38,Yashoda Hospital Hyderabad,Scanner,49,4,92.5,0x6a27d2c483f35e32e960e26b103b2969ae95e9f4fa5ba924fc4c59d6a2d86f,Active,No,https://verify.pharma.in/qr/0d26bf2139c73b2b
QR000040,BAT000040,DRG0040,Valacyclovir 500mg,0cfc16e55161e9a69f0da6389e42c6e4482a378cd71610c97b3d3c8aead2480a,v2,29-08-2025,Novartis India,14-07-2026,118,27-04-2026 07:28,SMS Hospital Jaipur,Web,107,11,90.7,0xdea24d4d9a4cc51e13e497d5bbcd51ee447729a0a645d4f01b0c6f28431e0a,Active,No,https://verify.pharma.in/qr/0cfc16e55161e9a6
QR000041,BAT000041,DRG0041,Fluconazole 150mg,87f007720c64ce404979ffa4d298a4b250b15f36249d60127517196744bca647,v2,24-08-2025,Sanofi India,04-09-2028,1,25-04-2026 14:29,Manipal Hospital Bengaluru,Scanner,0,1,0.0,0x327f2300d41b3cb340b9a9c0d4743c6aba3f4c9eb107c8db1901fb8138c01d,Active,Yes,https://verify.pharma.in/qr/87f007720c64ce40
QR000042,BAT000042,DRG0042,Itraconazole 100mg,cf4fa5c75559cfcfcb090e91c350cc8e27b521f3b4eac0c58efdf708dda0b150,v2,30-01-2025,Pfizer India,16-08-2028,217,20-04-2026 04:03,AIIMS Delhi,Web,206,11,94.9,0xf5804dbb8ef7c56ec17b0574ea382bcab36e759b9f2972439288e8b20403d6,Active,No,https://verify.pharma.in/qr/cf4fa5c75559cfcf
QR000043,BAT000043,DRG0043,Amphotericin B Inj,4d7d3b53ec58d9529e08f44dc4f2cb6d57663db10e20f53885ae44f57aadcb49,v2,14-05-2026,Dr Reddy's Laboratories,14-08-2027,201,15-05-2026 15:47,SMS Hospital Jaipur,Kiosk,185,16,92.0,0x792e0bb68a31859743bfddf3acf31d232430420f59006ab76b26ce4222aa58,Active,No,https://verify.pharma.in/qr/4d7d3b53ec58d952
QR000044,BAT000044,DRG0044,Voriconazole 200mg,3721060ac5c4185e1bc1a6bdb8a6107ad7f3ef91ca25ddf522b87508910b4cb2,v2,20-06-2025,Pfizer India,23-06-2027,320,27-04-2026 07:38,Medanta Hospital Gurugram,Kiosk,307,13,95.9,0x2935238ba60875da77d3084b7ba9cbf886544b6e89cf10e063b64455158681,Active,No,https://verify.pharma.in/qr/3721060ac5c4185e
QR000045,BAT000045,DRG0045,Terbinafine 250mg,ac498f6a584dcc5bba22da4240783d8ec34d933b2111bdf23886366dfc00e482,v2,14-02-2026,AstraZeneca India,15-04-2029,52,28-04-2026 10:55,PGIMER Chandigarh,Web,51,1,98.1,0xaedc7c23289e62692d53a1111e3c6f07621c56cb8c6bb2f47728682a5c40d9,Active,No,https://verify.pharma.in/qr/ac498f6a584dcc5b
QR000046,BAT000046,DRG0046,BCG Vaccine,c2676340b6672fbb6cae24a42bd1e8653cd97724ab6ad256616126b7f9da2e8e,v2,20-12-2025,AstraZeneca India,30-09-2028,102,10-05-2026 04:27,Medanta Hospital Gurugram,Kiosk,89,13,87.3,0xe1dd7dce4a66716117ff2926f95d275bbea6f58f8fdf48c349758e3bb43ea3,Active,No,https://verify.pharma.in/qr/c2676340b6672fbb
QR000047,BAT000047,DRG0047,Hepatitis B Vaccine,97d7f213f79684c04f5214c58a47f11c42720c3a123d43ae669ecf1002efa037,v2,08-02-2026,Zydus Cadila,23-12-2026,180,03-05-2026 20:07,AIIMS Delhi,Mobile,162,18,90.0,0xa31cd8b187d7f84de16ecc4a6462605eeb1688cd82b89c4bff3b5890cfe6b3,Active,No,https://verify.pharma.in/qr/97d7f213f79684c0
QR000048,BAT000048,DRG0048,MMR Vaccine,7736da5111cfeffb67bf37af05b8f5a34f08bc730673146e6ad2aaa6c87ffa91,v2,27-01-2025,Sun Pharmaceutical Industries,16-11-2028,168,15-05-2026 20:32,Apollo Hospital Mumbai,Mobile,162,6,96.4,0x3b33f4456546879589f10597f8c2ed7a9e221ed8a604f5ebec4e8eee49fffd,Active,No,https://verify.pharma.in/qr/7736da5111cfeffb
QR000049,BAT000049,DRG0049,COVID-19 mRNA Vaccine,89a11497ff6dc2d699e247c6da46050a1dc69e68cca091d8ca443c1f62214f41,v2,12-09-2025,GlaxoSmithKline India,27-01-2027,16,02-05-2026 22:49,Civil Hospital Surat,Web,15,1,93.8,0x6dc2ecc05ad0fe06d6c456696b103521b8b5b760d78cfa5aa95f02ddf0dbfa,Active,No,https://verify.pharma.in/qr/89a11497ff6dc2d6
QR000050,BAT000050,DRG0050,Influenza Vaccine,80b6f1f4dfe358aff097f85d6ef3903c26783fe916c1305070adbb7dde842e60,v2,18-04-2025,Aurobindo Pharma,04-05-2030,322,19-04-2026 04:14,Yashoda Hospital Hyderabad,Mobile,303,19,94.1,0x9e41583689104dd42564c62aac6e7a888bb1494c042143fc4abfcd5a6e4954,Active,No,https://verify.pharma.in/qr/80b6f1f4dfe358af
QR000051,BAT000051,DRG0051,Sertraline 50mg,b0a41681944f1cc06e019428de1b14cb91811031eba56483689992cbbb40cacb,v2,24-03-2026,Torrent Pharmaceuticals,16-04-2028,30,24-04-2026 03:54,Sterling Hospital Ahmedabad,Web,28,2,93.3,0xf50ce5574dd6617b88efca06d42e35a7c4ae9334d92fbc7aae950e39ea8333,Active,No,https://verify.pharma.in/qr/b0a41681944f1cc0
QR000052,BAT000052,DRG0052,Escitalopram 10mg,8634da49a8f66854fab4282b384d8f9fcb07215a9f747d12b38aa4d2587ff8cc,v2,04-01-2025,Novartis India,03-03-2028,290,16-05-2026 05:02,KEM Hospital Pune,Web,265,25,91.4,0x9f1c6e07249966f77937e9ecd5f932c8f9531e224f3f929b172904a4bc3df6,Active,No,https://verify.pharma.in/qr/8634da49a8f66854
QR000053,BAT000053,DRG0053,Olanzapine 10mg,8381dec08d23d21f2f94be3aa115e8278e2ac4f5026af848a0e268f92c873a4e,v2,11-05-2026,Biological E Ltd,15-05-2027,490,15-04-2026 12:33,SMS Hospital Jaipur,Kiosk,440,50,89.8,0xb090c0168a2ea2b4a79f0298807ac933d6c43f17c11d499be354c32bc5e716,Active,No,https://verify.pharma.in/qr/8381dec08d23d21f
QR000054,BAT000054,DRG0054,Risperidone 2mg,e71902c26b14521c5c0f4097876635b7af4af9cd4cfaeb085732ee8a8d81b94e,v2,08-05-2026,Cipla Ltd,01-09-2027,161,09-05-2026 12:10,Yashoda Hospital Hyderabad,Kiosk,157,4,97.5,0x7b755f947586edcc53b46975df901e11c863fd4baaba4217d3c59f05c1a209,Active,No,https://verify.pharma.in/qr/e71902c26b14521c
QR000055,BAT000055,DRG0055,Diazepam 5mg,7afcc7b6b448667d1b87734a4305a7847300c92f576fbc21fbac1f8b90da461e,v2,27-01-2026,AstraZeneca India,09-01-2030,153,12-05-2026 12:13,Manipal Hospital Bengaluru,Mobile,136,17,88.9,0x3c62561535c5f16b06e1aeef391f69b6aafe8ae97e3d5368421cfb7945ace7,Active,No,https://verify.pharma.in/qr/7afcc7b6b448667d
QR000056,BAT000056,DRG0056,Levetiracetam 500mg,f8a0e61eab20312b39189d863034d155c942149e9ddb44a7bd6cfd0e081a888e,v2,04-06-2025,GlaxoSmithKline India,07-05-2028,357,26-04-2026 00:42,SCB Medical Bhubaneswar,Web,310,47,86.8,0xc29a726d4742116ea421b9f5e623342ddec8e2f4ec75609f4df8cf1594d3e2,Active,No,https://verify.pharma.in/qr/f8a0e61eab20312b
QR000057,BAT000057,DRG0057,Carbamazepine 200mg,edafeb8cae7ed141ee94b2f39e52965dba278dc43ef492e37064ffe2aa9665bf,v2,19-03-2026,Sun Pharmaceutical Industries,20-03-2027,135,05-05-2026 07:38,SMS Hospital Jaipur,Kiosk,134,1,99.3,0xd224c742771e0712c1025e170eedab69a1d4334c6be7560255b6ab897c1779,Active,No,https://verify.pharma.in/qr/edafeb8cae7ed141
QR000058,BAT000058,DRG0058,Pregabalin 75mg,7578196838129aa82bbb90185d9172192d49a9a710bb71ab5a7f24b7c2fbd42f,v2,02-05-2026,Alkem Laboratories,05-08-2028,240,18-04-2026 15:10,Manipal Hospital Bengaluru,Scanner,214,26,89.2,0x468519e812708083a081b4a9db7fa8bddc7c5c24742977f40e28a7ec96fea5,Active,No,https://verify.pharma.in/qr/7578196838129aa8
QR000059,BAT000059,DRG0059,Donepezil 10mg,aedd803a1ac01bacfdd6e5807157be822c7e7f2259b89672cb74356dc6296ecc,v2,24-04-2026,Lupin Pharmaceuticals,15-09-2029,46,16-04-2026 01:56,KEM Hospital Pune,Mobile,40,6,87.0,0xd6576cf9007114646f1b342b7b3d939b9a39af12a8e7c8f221ca5a17c83239,Active,No,https://verify.pharma.in/qr/aedd803a1ac01bac
QR000060,BAT000060,DRG0060,Valproate 500mg,2aee9344d9874785bb8b8440f266dbb11b074860c38ce9a9ccbc50c069a61006,v2,21-05-2025,Cadila Healthcare,21-06-2026,257,13-05-2026 20:48,AMRI Hospital Kolkata,Kiosk,240,17,93.4,0x85ffbfe47f0175df2f30e4b81cffd5bf4c1bc89c58478f5dc02180b7e716ae,Active,No,https://verify.pharma.in/qr/2aee9344d9874785
QR000061,BAT000061,DRG0061,Levothyroxine 50mcg,bed87c9761f35352139c46f28183d0ba78b5037dedf0738dfd79be52105371ce,v2,05-07-2025,Serum Institute of India,19-10-2027,290,13-05-2026 19:28,PGIMER Chandigarh,Kiosk,259,31,89.3,0x320e4d7716909b0bc4f43efd32872fa9990f6412d3b346a343912ca55e0f33,Active,No,https://verify.pharma.in/qr/bed87c9761f35352
QR000062,BAT000062,DRG0062,Prednisolone 10mg,e9bcc07a7976e9f37ad8d2f159ccbe236df81ff7d7dd2c8e54821c0fe27e3cd3,v2,06-10-2025,AstraZeneca India,01-02-2029,109,08-05-2026 03:57,AIIMS Delhi,Kiosk,99,10,90.8,0x9ebd0daaa6d0d253b1f8f92bcc9532ebd3691c744f9d641b992010fd15c2a4,Active,No,https://verify.pharma.in/qr/e9bcc07a7976e9f3
QR000063,BAT000063,DRG0063,Dexamethasone 4mg Inj,90dc1132d016854a35eee5fb5e7300c055b5697cbe1dc58ebeb35ef88e558510,v2,22-08-2025,Pfizer India,23-06-2027,338,11-05-2026 11:19,KEM Hospital Pune,Mobile,309,29,91.4,0xf455a81dcd120ce40ad970cad1944581826fe5464803fac52b666ea804b060,Active,No,https://verify.pharma.in/qr/90dc1132d016854a
